name,general,specify,enrollment,language,rating,level,duration,instructor,instructor_rate,offered by
Cyber Threat Intelligence,Information Technology,Security,52299,English,4.7,Beginner,25,IBM Skills Network Team,4.5,IBM
Network Security,Information Technology,Security,6909,English,4.7,Beginner,8,(ISC)² Education & Training,4.9,ISC2
Security Principles,Information Technology,Security,12400,English,4.7,Beginner,5,(ISC)² Education & Training,4.6,ISC2
"Grow Your Business with Goldman Sachs 10,000 Women",Business,Entrepreneurship,50738,English,4.8,Other,4,,4.7,
"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,20097,English,4.6,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.6,Goldman Sachs
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,42118,English,4.7,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentals of Leadership, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,24682,English,4.7,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentals of Customers and Competition, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,14501,English,4.8,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.6,Goldman Sachs
"Fundamentals of Financial Planning, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,25059,English,4.7,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentals of Sales and Marketing, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,56690,English,4.6,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.6,Goldman Sachs
"Fundamentals of Operations, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,14877,English,4.6,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.4,Goldman Sachs
"Fundamentals of Management, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,25867,English,4.7,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentals of Funding, with Goldman Sachs 10,000 Women",Business,Entrepreneurship,13626,English,4.6,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.6,Goldman Sachs
"Expanda Seus Negócios com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,2136,Portuguese (Brazilian),5.0,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de Negociação com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.9,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de Finanças da Empresa com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,1722,Portuguese (Brazilian),4.9,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",5.0,Goldman Sachs
"Fundamentos de Liderança com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,2338,Portuguese (Brazilian),4.8,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de Clientes e Concorrência com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.9,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.5,Goldman Sachs
"Fundamentos de Planejamento Financeiro com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.8,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de Vendas e Marketing com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,2246,Portuguese (Brazilian),4.9,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentos de Operações com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.9,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentos de Gerenciamento com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.9,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentos de Financiamento com o 10,000 Women da Goldman Sachs",Business,Entrepreneurship,13926,Portuguese (Brazilian),4.8,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Haz Crecer Tu Negocio con Goldman Sachs 10,000 Women",Business,Entrepreneurship,2471,Spanish,4.9,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.9,Goldman Sachs
"Fundamentos de la Negociación con Goldman Sachs 10,000 Women",Business,Entrepreneurship,1743,Spanish,4.7,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de los Aspectos Financieros del Negocio con Goldman Sachs 10,000 Women",Business,Entrepreneurship,13926,Spanish,4.9,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.9,Goldman Sachs
"Fundamentos del Liderazgo con Goldman Sachs 10,000 Women",Business,Entrepreneurship,2405,Spanish,4.8,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de los Clientes y la Competencia con Goldman Sachs 10,000 Women",Business,Entrepreneurship,13926,Spanish,4.9,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de la Planificación Financiera con Goldman Sachs 10,000 Women",Business,Entrepreneurship,1609,Spanish,4.6,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.4,Goldman Sachs
"Fundamentos de las Ventas y el Marketing con Goldman Sachs 10,000 Women",Business,Entrepreneurship,6382,Spanish,4.8,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Fundamentos de las Operaciones con Goldman Sachs 10,000 Women",Business,Entrepreneurship,13926,Spanish,4.8,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.6,Goldman Sachs
"Fundamentos de la Administración con Goldman Sachs 10,000 Women",Business,Entrepreneurship,1620,Spanish,5.0,Other,4,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.8,Goldman Sachs
"Fundamentos de la Financiación con Goldman Sachs 10,000 Women",Business,Entrepreneurship,13926,Spanish,4.8,Other,3,"Mori Taheripour, Goldman Sachs 10,000 Women, Edward David, Geetha Krishnan, Michael Fetters, Anne Donnellon, Sarah Underwood",4.7,Goldman Sachs
"Digital Marketing Strategy with Goldman Sachs 10,000 Women",Business,Marketing,20593,English,4.7,Other,3,"Dionysius Ang, Goldman Sachs 10,000 Women",4.7,Goldman Sachs
"Innovation Strategy with Goldman Sachs 10,000 Women ",Business,Entrepreneurship,4054,English,4.7,Other,3,"Goldman Sachs 10,000 Women, Vita Kadile",4.8,Goldman Sachs
"Social Impact Strategy with Goldman Sachs 10,000 Women",Business,Business Strategy,3340,English,4.7,Other,3,"Isla Kapasi, Goldman Sachs 10,000 Women, Richard Tunstall",4.6,Goldman Sachs
"Two Speed IT: How Companies Can Surf the Digital Wave, a BCG Perspective",Business,Business Essentials,21521,English,4.3,Other,13,"Vanessa Lyon, Eric Baudson, Antoine Gourévitch",4.0,CentraleSupélec
20世纪西方音乐 Western Music in the 20th Century,Arts and Humanities,Music and Art,4476,Chinese (Simplified),4.4,Beginner,14,毕明辉 Bryan Minghui BI,4.7,Peking University
21st Century Energy Transition: how do we make it work?,Physical Science and Engineering,Environmental Science and Sustainability,4573,English,4.8,Beginner,16,Brad Hayes,4.9,University of Alberta
工程圖學 2D CAD,Physical Science and Engineering,Mechanical Engineering,14580,Chinese (Traditional),4.8,Other,26,康仕仲,4.7,National Taiwan University
3-Axis Machining with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,8112,English,4.9,Advanced,27,Autodesk,4.9,Autodesk
VR and 360 Video Production,Arts and Humanities,Music and Art,32217,English,4.7,Beginner,13,Google AR & VR,4.8,Google AR & VR
工程圖學 3D CAD,Physical Science and Engineering,Mechanical Engineering,7532,Chinese (Traditional),4.8,Other,7,康仕仲,4.7,National Taiwan University
3D CAD Application,Physical Science and Engineering,Mechanical Engineering,17519,English,4.8,Intermediate,8,康仕仲,4.8,National Taiwan University
3D CAD Fundamental,Physical Science and Engineering,Mechanical Engineering,60567,English,4.7,Beginner,9,康仕仲,4.7,National Taiwan University
Current Gen 3D Game Prop Production,Arts and Humanities,Music and Art,5197,English,4.8,Intermediate,14,Andrew Dennis,4.8,Michigan State University
3D Graphics in Android: Sensors and VR,Computer Science,Mobile and Web Development,10001,English,4.6,Advanced,27,Benny Lo,4.7,Imperial College London
3D Interaction Design in Virtual Reality,Computer Science,Design and Product,15738,English,4.6,Intermediate,13," Dr Sylvia Xueni Pan, University of London",4.8,"Goldsmiths, University of London"
3D Model Creation with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,27545,English,4.8,Advanced,14,Autodesk,4.8,Autodesk
Design Computing: 3D Modeling in Rhinoceros with Python/Rhinoscript,Computer Science,Design and Product,16269,English,4.9,Beginner,27,Glenn Wilcox,4.9,University of Michigan
3D Models for Virtual Reality,Computer Science,Design and Product,42146,English,4.6,Intermediate,16," Dr Sylvia Xueni Pan, University of London",4.6,"Goldsmiths, University of London"
3D Printing Hardware,Business,Entrepreneurship,14372,English,4.1,Beginner,31,"Matthew Griffin, Alex Larson",4.0,University of Illinois at Urbana-Champaign
3D Printing Applications,Business,Entrepreneurship,24611,English,4.6,Beginner,22,Vishal Sachdev,4.6,University of Illinois at Urbana-Champaign
3D Printing Capstone,Business,Entrepreneurship,4410,English,4.4,Beginner,5,Alex Larson,3.7,University of Illinois at Urbana-Champaign
The 3D Printing Revolution,Business,Entrepreneurship,49472,English,4.7,Beginner,10,Aric Rindfleisch,4.7,University of Illinois at Urbana-Champaign
3D Printing Software,Business,Entrepreneurship,43064,English,4.6,Beginner,15,Jeffrey Smith,4.8,University of Illinois at Urbana-Champaign
3D Reconstruction - Single Viewpoint ,Computer Science,Algorithms,3272,English,4.9,Beginner,11,,4.7,
3D Reconstruction - Multiple Viewpoints,Computer Science,Algorithms,3027,English,4.7,Beginner,8,,4.7,
4G Network Fundamentals,Information Technology,Networking,3943,English,4.6,Intermediate,16,Xavier Lagrange,4.7,Institut Mines-Télécom
4G : Principes des réseaux mobiles,Information Technology,Networking,13926,French,4.6,Intermediate,19,Xavier Lagrange,4.6,Institut Mines-Télécom
5G Network Fundamentals,Information Technology,Networking,3304,English,4.8,Intermediate,19,Xavier Lagrange,4.9,Institut Mines-Télécom
5G for Everyone,Physical Science and Engineering,Electrical Engineering,18274,English,4.8,Beginner,13,Nakul H. Navarange,4.8,Qualcomm Academy
Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Social Sciences,Governance and Society,11897,English,4.7,Beginner,12,David Schanzer,4.7,Duke University
A Blueprint for Success – Your Video Pre-Production,Personal Development,Personal Development,5526,English,4.5,Beginner,11,"Paul Daugherty, Emilie Johnson",4.7,University of Colorado Boulder
A General Approach to Risk Management,Information Technology,Security,13926,English,4.9,Beginner,8,"Michael Whitman, Ph.D., CISM, CISSP, Herbert J. Mattord, Ph.D., CISM, CISSP, CDP",4.2,University System of Georgia
A Practical Introduction to Test-Driven Development,Computer Science,Software Development,1619,English,3.8,Intermediate,15,Doug Purcell,4.2,LearnQuest
¡A Programar! Una introducción a la programación,Computer Science,Software Development,161980,Spanish,4.8,Beginner,12,"Universidad ORT Uruguay, Dr Areti Manataki, Inés Friss de Kereki",4.8,The University of Edinburgh
A Public Health Approach to Hearing Loss and Aging,Health,Public Health,13926,English,4.6,Beginner,2,"Nicholas S. Reed, AuD, Jennifer A. Deal, PhD, Frank R. Lin, MD, PhD",4.3,Johns Hopkins University
A Strategic Approach to Cybersecurity,Computer Science,Computer Security and Networks,1688,English,4.7,Beginner,9,Charles Harry,4.8,"University of Maryland, College Park"
"A tanulás tanulása: Hatékony mentális eszközök, melyek segítenek megbirkózni a nehéz tantárgyakkal (Learning How to Learn)",Personal Development,Personal Development,10667,Hungarian,4.9,Beginner,15,"Kocsis Lilla, Barbara Oakley, Dr. Terrence Sejnowski, Szakál Péter",4.9,Deep Teaching Solutions
"Capstone MOOC for ""Android App Development""",Computer Science,Mobile and Web Development,11575,English,4.3,Other,4,"Michael Walker, Dr. Douglas C. Schmidt, Dr. Jules White",4.8,Vanderbilt University
El ABC de la sostenibilidad ,Physical Science and Engineering,Environmental Science and Sustainability,3089,Spanish,4.8,Beginner,12,Campus BBVA,4.7,Campus BBVA
The ABC of sustainability ,Physical Science and Engineering,Environmental Science and Sustainability,3605,English,4.6,Beginner,12,Campus BBVA,4.9,Campus BBVA
Anatomy of the Abdomen and Pelvis; a journey from basis to clinic.  ,Health,Basic Science,63111,English,4.8,Other,43,"Bas Boekestijn, MD, Marco De Ruiter, PhD, Beerend P. Hierck, PHD., Friso Jansen, Universiteit Leiden, Daniël Jansma, MSc, Paul Gobée, MD",4.7,Leiden University Medical Center
Introduction to Ableton Live,Arts and Humanities,Music and Art,80597,English,4.8,Other,13,Erin Barra,4.8,Berklee
Aboriginal Worldviews and Education,Social Sciences,Education,27040,English,4.7,Beginner,13,Jean-Paul Restoule,4.8,University of Toronto
"Abstraction, Problem Decomposition, and Functions",Computer Science,Software Development,3989,English,4.7,Beginner,16,"Dr. Tim ""Dr. T"" Chamillard",4.7,University of Colorado System
Academic Discussions in English,Language Learning,Learning English,31257,English,4.6,Intermediate,24,"Tamy Chapman, Helen Nam, Brad Gilpin, Meg Parker",4.5,"University of California, Irvine"
Academic Skills for University Success: Capstone,Social Sciences,Education,42334,English,4.9,Other,33,"Jessica Blackburn, Lydia Dutcher, Katherine Olston, Luke Alexander",4.8,The University of Sydney
Project: Writing a Research Paper,Language Learning,Learning English,38865,English,4.7,Other,10,"Tamy Chapman, Helen Nam, Brad Gilpin",4.7,"University of California, Irvine"
Academic Information Seeking,Personal Development,Personal Development,28457,English,4.7,Other,6,"University of Copenhagen, Thomas Skov Jensen , Birgitte Munk",4.7,Technical University of Denmark (DTU)
