name,field,enrollment,language,rating,level,duration,description,skill,instructor,offered by
Cyber Threat Intelligence,Information Technology > Security,"52,299 already enrolled",Taught in English,4.7,Beginner level,25 hours (approximately),None,"Cybersecurity, network defensive tactics, threat intelligence, Application Security, security analyst",4.5  {'IBM Skills Network Team'},IBM
Network Security,Information Technology > Security,"6,909 already enrolled",Taught in English,4.7,Beginner level,8 hours (approximately),None,"Cyberattacks, Network Security, Threat",4.9  {'(ISC)² Education & Training'},ISC2
Security Principles,Information Technology > Security,"12,400 already enrolled",Taught in English,4.7,Beginner level,5 hours (approximately),None,"Risk, security, governance, Information Assurance",4.6  {'(ISC)² Education & Training'},ISC2
"Grow Your Business with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"50,738 already enrolled",Taught in English,4.8,,Approx. 4 hours to complete,Develop your community and discuss the value of peer learning.  Discover the content and development process of your Business Growth Plan (BGP).
 Explore a potential growth opportunity for your business and evaluate its feasibility.Develop your Opportunity Statement.,"Opportunity Identification, Strategic Thinking, Business Analytics, Entrepreneurship","4.8  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, अपने व्यवसाय की वृद्धि करें",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete,अपने समुदाय का विकास करना और साथियों से सीखने के महत्व पर चर्चा करना।  अपने 'व्यवसाय वृद्धि योजना (व्य. वृ. यो.)' के बारे में जानना और उसे विकसित करना।अपने व्यवसाय के लिए संभावित विकास अवसर की खोज करना और उसकी संभावना का मूल्यांकन करना।  अपना अवसर विवरण (ओप्पोरचूनिटी स्टेटमेंट) बनाना।,"अवसर की पहचान, रणनीतिक सोच, उद्यमवृत्ति, बिज़नेस एनालिटिक्स","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"20,097 already enrolled",Taught in English,4.6,,Approx. 4 hours to complete,"Review how to establish rapport, trust, and respect at the bargaining table.Discuss the importance of preparation and goal setting in negotiation.Differentiate between interests and positions, and find creative solutions that integrate the interests of all parties.Identify and evaluate the types, and characteristics, of leverage in negotiations.  ","Bargaining, Customer Relationship Management (CRM), Communication, Negotiation, Emotional Intelligence","4.6  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, मोलभाव के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete,"समीक्षा करना कि सौदेबाजी की मेज पर तालमेल, विश्वास और सम्मान कैसे स्थापित किया जाता है।सन्धिकरण में तैयारी और लक्ष्य निर्धारण के महत्व पर चर्चा करना।रुचियों और पदों के बीच अंतर करना, और सभी पक्षों के हितों को एकीकृत करने वाले रचनात्मक समाधान की खोज करना।सन्धिकरण में उत्तोलन के प्रकार, और विशेषताओं की पहचान और मूल्यांकन करना।","संचार, ग्राहक संबंध प्रबंधन (ग्रा. सं. प्र.), भावनात्मक बुद्धि, सन्धिकरण, सौदेबाजी","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women",Business > Entrepreneurship,"42,118 already enrolled",Taught in English,4.7,,Approx. 4 hours to complete,"Define and discuss the basic building blocks of financial statements: assets, liabilities, equity, revenue and expenses.  Interpret two key financial statements (Income Statement and Balance Sheet) to drive business decisions.  Identify the key business ratios that can be calculated using your Income Statement and Balance Sheet.  ","Financial Statement Use and Analysis, Financial Terminology, Balance Sheet, Income Statement Analysis, Financial Ratio Analysis","4.7  {'Mori Taheripour', 'Goldman Sachs 10,000 Women', 'Edward David', 'Geetha Krishnan', 'Michael Fetters', 'Anne Donnellon', 'Sarah Underwood'}",Goldman Sachs
"Goldman Sachs 10,000 Women के साथ, व्यावसायिक वित्त के मूल सिद्धांत",Business > Entrepreneurship,,Taught in Hindi,,,Approx. 4 hours to complete," बैलेंस शीट के बुनियादी तत्वों: संपत्ति (एसेट), दायित्व (लायबिलिटी), समता (इक्विटी), आगम (रेवेन्यू) और व्यय को परिभाषित करना और उन पर चर्चा करना। व्यावसायिक निर्णय लेने के लिए दो प्रमुख वित्तीय विवरणों (आय विवरण और बैलेंस शीट) की व्याख्या करना।उन मुख्य व्यावसायिक अनुपातों की पहचान करना जिनकी गणना आपके आय विवरण और बैलेंस शीट का इस्तेमाल करके की जा सकती है।","वित्तीय शब्दावली, आय विवरण विश्लेषण (इनकम स्टेटमेंट एनालिसिस), वित्तीय अनुपात विश्लेषण (फाइनेंशियल रेश्यो एनालिसिस), बैलेंस शीट, वित्तीय विवरण का उपयोग और विश्लेषण (फाइनेंशियल स्टेटमेंट उसे एंड एनालिसिस)","None {'Goldman Sachs 10,000 Women'}",Goldman Sachs
