,kernel,C,gamma,mean_test,mean_train,rank_test_score,mean_fit_time,mean_score_time
"{'regressor__C': 0.01, 'regressor__gamma': 0.001, 'regressor__kernel': 'linear'}",linear,0.01,0.001,0.034388,0.032967,19,0.7792120575904846,0.12386083602905273
"{'regressor__C': 0.01, 'regressor__gamma': 0.01, 'regressor__kernel': 'linear'}",linear,0.01,0.01,0.034388,0.032967,19,0.938133180141449,0.20260083675384521
"{'regressor__C': 0.01, 'regressor__gamma': 0.1, 'regressor__kernel': 'linear'}",linear,0.01,0.1,0.034388,0.032967,19,0.874395489692688,0.20889639854431152
"{'regressor__C': 0.01, 'regressor__gamma': 1.0, 'regressor__kernel': 'linear'}",linear,0.01,1.0,0.034388,0.032967,19,0.8789879679679871,0.18738895654678345
"{'regressor__C': 0.1, 'regressor__gamma': 0.001, 'regressor__kernel': 'linear'}",linear,0.1,0.001,0.033987,0.030537,5,0.969569981098175,0.18230164051055908
"{'regressor__C': 0.1, 'regressor__gamma': 0.01, 'regressor__kernel': 'linear'}",linear,0.1,0.01,0.033987,0.030537,5,1.0518731474876404,0.18299925327301025
"{'regressor__C': 0.1, 'regressor__gamma': 0.1, 'regressor__kernel': 'linear'}",linear,0.1,0.1,0.033987,0.030537,5,0.8738143444061279,0.1669003963470459
"{'regressor__C': 0.1, 'regressor__gamma': 1.0, 'regressor__kernel': 'linear'}",linear,0.1,1.0,0.033987,0.030537,5,0.8774793744087219,0.16536402702331543
"{'regressor__C': 1.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'linear'}",linear,1.0,0.001,0.034290,0.029202,10,3.1881097555160522,0.2565385699272156
"{'regressor__C': 1.0, 'regressor__gamma': 0.01, 'regressor__kernel': 'linear'}",linear,1.0,0.01,0.034290,0.029202,10,3.1178219318389893,0.23300546407699585
"{'regressor__C': 1.0, 'regressor__gamma': 0.1, 'regressor__kernel': 'linear'}",linear,1.0,0.1,0.034290,0.029202,10,3.0218961238861084,0.2532902956008911
"{'regressor__C': 1.0, 'regressor__gamma': 1.0, 'regressor__kernel': 'linear'}",linear,1.0,1.0,0.034290,0.029202,10,4.158210098743439,0.2830866575241089
"{'regressor__C': 10.0, 'regressor__gamma': 0.001, 'regressor__kernel': 'linear'}",linear,10.0,0.001,0.034354,0.029171,14,16.620768189430237,0.25173360109329224
